mlplink,tmc
3658439700776594230,119N14054
3671170280194774386,119P04680
3663583946313470624,119N04657
3664982984666606131,119N13003
3670499363354362581,119P17226
3665355336858602496,119N04554
3664376642659091335,119-09640
3666419707063997488,119N04574
3672629336419095676,119P14281
3655394289790372205,119P04459
3672819938477748948,119+14282
3651592036844173100,119+10220
3670531665803444290,119P04570
3677967130363144942,119-14255
3667985905541723406,119N04475
3674765730461195073,119-04708
3675146389118797684,119-04682
3670689312577056980,119-16919
3667755098291925835,119N16836
3668870200653306549,119P04428
3670369655341079933,119-12928
3665485427121980189,119N04599
3669629851518254145,119-04646
3662976015171442736,119-04557
3672284871452482320,119P16919
3665255727974720037,119-07008
3676063540727994683,119N04622
3675870413232019471,119-07135
3677944289728083855,119N16943
3665756748795316958,119N12426
3667691721756695197,119-04454
3668271400609331261,119N04573
3668167973501111285,119N04576
3662163029399905602,119N04466
3657897804752064060,119-07045
3662326598934407740,119P04466
3663806941019552883,119P05921
3673212743303067333,119P17285
3657065568938760505,119P08548
3665642180543369942,119N04598
3672488942529365009,119N04386
3664895277141769178,119P05954
3671699231188588485,119N08559
3664894886299741040,119+05953
3672500156688944709,119N04386
3664562606150900912,119N04654
3666961268078747944,119P04424
3668325349692545676,119N04600
3670961050860013439,119N06950
3677124084119403968,119N05907
3679859505840559538,119-07042
3670512153764085651,119P14251
3677078892473385681,119P05907
3671225238597195515,119P04569
3668476764471027004,119P05917
3670639104409625141,119+12929
3670963876948466404,119N04632
3663344089569982697,119N04658
3668570892974581979,119-05957
3660920851844402466,119P07115
3664368065611778664,119N05921
3667574099780722687,119-06947
3670907071710885444,119N04631
3666525363259475061,119N04574
3661215258968913720,119+04561
3672954486919867472,119-05899
3676874387605821756,119N05907
3661333568137282490,119N05951
3668370030238303216,119N17241
3670116424067372618,119P14248
3676879331115048796,119+04392
3669834322026043358,119N07147
3668702744175403332,119P05917
3669229826856935909,119P05917
3669736667354025780,119P14248
3665049578134451738,119-07008
3664810468715142275,119P07008
3669466599811713405,119-04419
3676626202921007355,119P12929
3658507462475491332,119+04461
3671855134206428220,119+05915
3664065695619188873,119N04558
3674416128713219841,119N04438
3681611942691647097,119N07043
3666458735430711795,119P04597
3681443494074299797,119N07043
3673161925249431660,119+04682
3672224247990043823,119N09647
3649817639827380368,119N04666
3664579781729671943,119P05921
3668586204532393848,119+17251
3664158320883309674,119P05953
3669037244816195800,119N04453
3676680319508699534,119-05908
3667120559825970075,119P04474
3670743665389818170,119+05916
3651321127489101951,119N04667
3672295870860330144,119-05043
3680239838079528574,119N07043
3664962828387961022,119P05920
3655397296267484425,119N04459
3667164265413172051,119N04474
3670966917785333235,119N06951
3655564748449588612,119-07006
3672694761656688980,119N04682
3673312932005220966,119P04388
3671727547907629178,119-05914
3662806784866737685,119P04404
3670640873935918372,119N16920
3664299225876016188,119P05921
3684652057982724885,119+09614
3668326844341197451,119-04600
3663466165425362524,119-04657
3666987695013493075,119P04550
3679723565830072761,119-14286
3668125981605835887,119N04545
3668212903154644097,119-04579
3651337577213853961,119-04666
3677340546175738131,119N14307
3671675488609231302,119P14319
3664530350951059044,119P05920
3664813470897283336,119-07007
3663841373772348670,119N05921
3665048177975112895,119+07009
3668521526619884645,119-04581
3669681850686430564,119N14248
3679311588272657144,119P07042
3659304655650778997,119P05951
3663388426517446945,119N07110
3666189067319776025,119N07111
3674628733889355325,119P04440
3674052237611053961,119N17278
3670981086882445466,119N04632
3666919314838194910,119-05922
3663360178517759961,119P04661
3672603781364923685,119P04386
3670095997205095752,119P07137
3668561070384156840,119N05917
3667753912883147614,119N04471
